"N","Time","avg(T)","avg(T_avg)","avg(U (0))","avg(U (1))","avg(U (2))","avg(U (Magnitude))","avg(Volume)","avg(alphat)","avg(k)","avg(nut)","avg(omega)","avg(p)","avg(p_rgh)","avg(rho)","avg(vtkOriginalCellIds)","max(T)","max(T_avg)","max(U (0))","max(U (1))","max(U (2))","max(U (Magnitude))","max(Volume)","max(alphat)","max(k)","max(nut)","max(omega)","max(p)","max(p_rgh)","max(rho)","max(vtkOriginalCellIds)","med(T)","med(T_avg)","med(U (0))","med(U (1))","med(U (2))","med(U (Magnitude))","med(Volume)","med(alphat)","med(k)","med(nut)","med(omega)","med(p)","med(p_rgh)","med(rho)","med(vtkOriginalCellIds)","min(T)","min(T_avg)","min(U (0))","min(U (1))","min(U (2))","min(U (Magnitude))","min(Volume)","min(alphat)","min(k)","min(nut)","min(omega)","min(p)","min(p_rgh)","min(rho)","min(vtkOriginalCellIds)","q1(T)","q1(T_avg)","q1(U (0))","q1(U (1))","q1(U (2))","q1(U (Magnitude))","q1(Volume)","q1(alphat)","q1(k)","q1(nut)","q1(omega)","q1(p)","q1(p_rgh)","q1(rho)","q1(vtkOriginalCellIds)","q3(T)","q3(T_avg)","q3(U (0))","q3(U (1))","q3(U (2))","q3(U (Magnitude))","q3(Volume)","q3(alphat)","q3(k)","q3(nut)","q3(omega)","q3(p)","q3(p_rgh)","q3(rho)","q3(vtkOriginalCellIds)","std(T)","std(T_avg)","std(U (0))","std(U (1))","std(U (2))","std(U (Magnitude))","std(Volume)","std(alphat)","std(k)","std(nut)","std(omega)","std(p)","std(p_rgh)","std(rho)","std(vtkOriginalCellIds)","sum(T)","sum(T_avg)","sum(U (0))","sum(U (1))","sum(U (2))","sum(U (Magnitude))","sum(Volume)","sum(alphat)","sum(k)","sum(nut)","sum(omega)","sum(p)","sum(p_rgh)","sum(rho)","sum(vtkOriginalCellIds)","vtkValidPointMask"
1,0.5,0.033829,298.02,-3.8059e-13,-4.113e-13,3.7079e-11,3.7083e-11,0.00011351,0.00024002,5.9281e-10,1.884e-07,0.012832,12.97,1.6488,0.11318,0,0.033829,298.02,-3.8059e-13,-4.113e-13,3.7079e-11,3.7083e-11,0.00011351,0.00024002,5.9281e-10,1.884e-07,0.012832,12.97,1.6488,0.11318,0,0.033829,298.02,-3.8059e-13,-4.113e-13,3.7079e-11,3.7083e-11,0.00011351,0.00024002,5.9281e-10,1.884e-07,0.012832,12.97,1.6488,0.11318,0,0.033829,298.02,-3.8059e-13,-4.113e-13,3.7079e-11,3.7083e-11,0.00011351,0.00024002,5.9281e-10,1.884e-07,0.012832,12.97,1.6488,0.11318,0,0.033829,298.02,-3.8059e-13,-4.113e-13,3.7079e-11,3.7083e-11,0.00011351,0.00024002,5.9281e-10,1.884e-07,0.012832,12.97,1.6488,0.11318,0,0.033829,298.02,-3.8059e-13,-4.113e-13,3.7079e-11,3.7083e-11,0.00011351,0.00024002,5.9281e-10,1.884e-07,0.012832,12.97,1.6488,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033829,298.02,-3.8059e-13,-4.113e-13,3.7079e-11,3.7083e-11,0.00011351,0.00024002,5.9281e-10,1.884e-07,0.012832,12.97,1.6488,0.11318,0,1
1,1,0.033834,298.06,-5.931e-13,-1.1727e-12,5.033e-11,5.0348e-11,0.00011351,1.6851e-06,4.1806e-10,1.2999e-09,0.012893,16.511,5.1894,0.11318,0,0.033834,298.06,-5.931e-13,-1.1727e-12,5.033e-11,5.0348e-11,0.00011351,1.6851e-06,4.1806e-10,1.2999e-09,0.012893,16.511,5.1894,0.11318,0,0.033834,298.06,-5.931e-13,-1.1727e-12,5.033e-11,5.0348e-11,0.00011351,1.6851e-06,4.1806e-10,1.2999e-09,0.012893,16.511,5.1894,0.11318,0,0.033834,298.06,-5.931e-13,-1.1727e-12,5.033e-11,5.0348e-11,0.00011351,1.6851e-06,4.1806e-10,1.2999e-09,0.012893,16.511,5.1894,0.11318,0,0.033834,298.06,-5.931e-13,-1.1727e-12,5.033e-11,5.0348e-11,0.00011351,1.6851e-06,4.1806e-10,1.2999e-09,0.012893,16.511,5.1894,0.11318,0,0.033834,298.06,-5.931e-13,-1.1727e-12,5.033e-11,5.0348e-11,0.00011351,1.6851e-06,4.1806e-10,1.2999e-09,0.012893,16.511,5.1894,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033834,298.06,-5.931e-13,-1.1727e-12,5.033e-11,5.0348e-11,0.00011351,1.6851e-06,4.1806e-10,1.2999e-09,0.012893,16.511,5.1894,0.11318,0,1
1,1.5,0.03384,298.12,-1.1074e-12,-1.6272e-12,3.8696e-11,3.8746e-11,0.00011351,2.4952e-07,3.2741e-10,2.127e-10,0.012946,21.261,9.9393,0.11318,0,0.03384,298.12,-1.1074e-12,-1.6272e-12,3.8696e-11,3.8746e-11,0.00011351,2.4952e-07,3.2741e-10,2.127e-10,0.012946,21.261,9.9393,0.11318,0,0.03384,298.12,-1.1074e-12,-1.6272e-12,3.8696e-11,3.8746e-11,0.00011351,2.4952e-07,3.2741e-10,2.127e-10,0.012946,21.261,9.9393,0.11318,0,0.03384,298.12,-1.1074e-12,-1.6272e-12,3.8696e-11,3.8746e-11,0.00011351,2.4952e-07,3.2741e-10,2.127e-10,0.012946,21.261,9.9393,0.11318,0,0.03384,298.12,-1.1074e-12,-1.6272e-12,3.8696e-11,3.8746e-11,0.00011351,2.4952e-07,3.2741e-10,2.127e-10,0.012946,21.261,9.9393,0.11318,0,0.03384,298.12,-1.1074e-12,-1.6272e-12,3.8696e-11,3.8746e-11,0.00011351,2.4952e-07,3.2741e-10,2.127e-10,0.012946,21.261,9.9393,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03384,298.12,-1.1074e-12,-1.6272e-12,3.8696e-11,3.8746e-11,0.00011351,2.4952e-07,3.2741e-10,2.127e-10,0.012946,21.261,9.9393,0.11318,0,1
1,2,0.033848,298.18,-1.6506e-12,-2.5946e-12,-4.2372e-12,5.2355e-12,0.00011351,2.1212e-07,2.6551e-10,1.8082e-10,0.01298,26.975,15.653,0.11318,0,0.033848,298.18,-1.6506e-12,-2.5946e-12,-4.2372e-12,5.2355e-12,0.00011351,2.1212e-07,2.6551e-10,1.8082e-10,0.01298,26.975,15.653,0.11318,0,0.033848,298.18,-1.6506e-12,-2.5946e-12,-4.2372e-12,5.2355e-12,0.00011351,2.1212e-07,2.6551e-10,1.8082e-10,0.01298,26.975,15.653,0.11318,0,0.033848,298.18,-1.6506e-12,-2.5946e-12,-4.2372e-12,5.2355e-12,0.00011351,2.1212e-07,2.6551e-10,1.8082e-10,0.01298,26.975,15.653,0.11318,0,0.033848,298.18,-1.6506e-12,-2.5946e-12,-4.2372e-12,5.2355e-12,0.00011351,2.1212e-07,2.6551e-10,1.8082e-10,0.01298,26.975,15.653,0.11318,0,0.033848,298.18,-1.6506e-12,-2.5946e-12,-4.2372e-12,5.2355e-12,0.00011351,2.1212e-07,2.6551e-10,1.8082e-10,0.01298,26.975,15.653,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033848,298.18,-1.6506e-12,-2.5946e-12,-4.2372e-12,5.2355e-12,0.00011351,2.1212e-07,2.6551e-10,1.8082e-10,0.01298,26.975,15.653,0.11318,0,1
1,2.5,0.033856,298.26,-2.1903e-12,-3.859e-12,-8.6538e-11,8.6651e-11,0.00011351,1.792e-07,2.1913e-10,1.5275e-10,0.013024,33.505,22.183,0.11318,0,0.033856,298.26,-2.1903e-12,-3.859e-12,-8.6538e-11,8.6651e-11,0.00011351,1.792e-07,2.1913e-10,1.5275e-10,0.013024,33.505,22.183,0.11318,0,0.033856,298.26,-2.1903e-12,-3.859e-12,-8.6538e-11,8.6651e-11,0.00011351,1.792e-07,2.1913e-10,1.5275e-10,0.013024,33.505,22.183,0.11318,0,0.033856,298.26,-2.1903e-12,-3.859e-12,-8.6538e-11,8.6651e-11,0.00011351,1.792e-07,2.1913e-10,1.5275e-10,0.013024,33.505,22.183,0.11318,0,0.033856,298.26,-2.1903e-12,-3.859e-12,-8.6538e-11,8.6651e-11,0.00011351,1.792e-07,2.1913e-10,1.5275e-10,0.013024,33.505,22.183,0.11318,0,0.033856,298.26,-2.1903e-12,-3.859e-12,-8.6538e-11,8.6651e-11,0.00011351,1.792e-07,2.1913e-10,1.5275e-10,0.013024,33.505,22.183,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033856,298.26,-2.1903e-12,-3.859e-12,-8.6538e-11,8.6651e-11,0.00011351,1.792e-07,2.1913e-10,1.5275e-10,0.013024,33.505,22.183,0.11318,0,1
1,3,0.033865,298.34,-2.8887e-12,-5.8822e-12,-2.2165e-10,2.2175e-10,0.00011351,1.5138e-07,1.8324e-10,1.2903e-10,0.013076,40.706,29.384,0.11318,0,0.033865,298.34,-2.8887e-12,-5.8822e-12,-2.2165e-10,2.2175e-10,0.00011351,1.5138e-07,1.8324e-10,1.2903e-10,0.013076,40.706,29.384,0.11318,0,0.033865,298.34,-2.8887e-12,-5.8822e-12,-2.2165e-10,2.2175e-10,0.00011351,1.5138e-07,1.8324e-10,1.2903e-10,0.013076,40.706,29.384,0.11318,0,0.033865,298.34,-2.8887e-12,-5.8822e-12,-2.2165e-10,2.2175e-10,0.00011351,1.5138e-07,1.8324e-10,1.2903e-10,0.013076,40.706,29.384,0.11318,0,0.033865,298.34,-2.8887e-12,-5.8822e-12,-2.2165e-10,2.2175e-10,0.00011351,1.5138e-07,1.8324e-10,1.2903e-10,0.013076,40.706,29.384,0.11318,0,0.033865,298.34,-2.8887e-12,-5.8822e-12,-2.2165e-10,2.2175e-10,0.00011351,1.5138e-07,1.8324e-10,1.2903e-10,0.013076,40.706,29.384,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033865,298.34,-2.8887e-12,-5.8822e-12,-2.2165e-10,2.2175e-10,0.00011351,1.5138e-07,1.8324e-10,1.2903e-10,0.013076,40.706,29.384,0.11318,0,1
1,3.5,0.033875,298.43,-3.6031e-12,-8.1513e-12,-4.3096e-10,4.3105e-10,0.00011351,1.2831e-07,1.5493e-10,1.0937e-10,0.013134,48.457,37.136,0.11318,0,0.033875,298.43,-3.6031e-12,-8.1513e-12,-4.3096e-10,4.3105e-10,0.00011351,1.2831e-07,1.5493e-10,1.0937e-10,0.013134,48.457,37.136,0.11318,0,0.033875,298.43,-3.6031e-12,-8.1513e-12,-4.3096e-10,4.3105e-10,0.00011351,1.2831e-07,1.5493e-10,1.0937e-10,0.013134,48.457,37.136,0.11318,0,0.033875,298.43,-3.6031e-12,-8.1513e-12,-4.3096e-10,4.3105e-10,0.00011351,1.2831e-07,1.5493e-10,1.0937e-10,0.013134,48.457,37.136,0.11318,0,0.033875,298.43,-3.6031e-12,-8.1513e-12,-4.3096e-10,4.3105e-10,0.00011351,1.2831e-07,1.5493e-10,1.0937e-10,0.013134,48.457,37.136,0.11318,0,0.033875,298.43,-3.6031e-12,-8.1513e-12,-4.3096e-10,4.3105e-10,0.00011351,1.2831e-07,1.5493e-10,1.0937e-10,0.013134,48.457,37.136,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033875,298.43,-3.6031e-12,-8.1513e-12,-4.3096e-10,4.3105e-10,0.00011351,1.2831e-07,1.5493e-10,1.0937e-10,0.013134,48.457,37.136,0.11318,0,1
1,4,0.033886,298.52,-4.9264e-12,-1.1129e-11,-7.3007e-10,7.3017e-10,0.00011351,1.0906e-07,1.323e-10,9.2952e-11,0.013197,56.666,45.345,0.11318,0,0.033886,298.52,-4.9264e-12,-1.1129e-11,-7.3007e-10,7.3017e-10,0.00011351,1.0906e-07,1.323e-10,9.2952e-11,0.013197,56.666,45.345,0.11318,0,0.033886,298.52,-4.9264e-12,-1.1129e-11,-7.3007e-10,7.3017e-10,0.00011351,1.0906e-07,1.323e-10,9.2952e-11,0.013197,56.666,45.345,0.11318,0,0.033886,298.52,-4.9264e-12,-1.1129e-11,-7.3007e-10,7.3017e-10,0.00011351,1.0906e-07,1.323e-10,9.2952e-11,0.013197,56.666,45.345,0.11318,0,0.033886,298.52,-4.9264e-12,-1.1129e-11,-7.3007e-10,7.3017e-10,0.00011351,1.0906e-07,1.323e-10,9.2952e-11,0.013197,56.666,45.345,0.11318,0,0.033886,298.52,-4.9264e-12,-1.1129e-11,-7.3007e-10,7.3017e-10,0.00011351,1.0906e-07,1.323e-10,9.2952e-11,0.013197,56.666,45.345,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033886,298.52,-4.9264e-12,-1.1129e-11,-7.3007e-10,7.3017e-10,0.00011351,1.0906e-07,1.323e-10,9.2952e-11,0.013197,56.666,45.345,0.11318,0,1
1,4.5,0.033896,298.61,-6.6696e-12,-1.3675e-11,-1.143e-09,1.1431e-09,0.00011351,9.2244e-08,1.14e-10,7.8619e-11,0.013263,65.268,53.946,0.11318,0,0.033896,298.61,-6.6696e-12,-1.3675e-11,-1.143e-09,1.1431e-09,0.00011351,9.2244e-08,1.14e-10,7.8619e-11,0.013263,65.268,53.946,0.11318,0,0.033896,298.61,-6.6696e-12,-1.3675e-11,-1.143e-09,1.1431e-09,0.00011351,9.2244e-08,1.14e-10,7.8619e-11,0.013263,65.268,53.946,0.11318,0,0.033896,298.61,-6.6696e-12,-1.3675e-11,-1.143e-09,1.1431e-09,0.00011351,9.2244e-08,1.14e-10,7.8619e-11,0.013263,65.268,53.946,0.11318,0,0.033896,298.61,-6.6696e-12,-1.3675e-11,-1.143e-09,1.1431e-09,0.00011351,9.2244e-08,1.14e-10,7.8619e-11,0.013263,65.268,53.946,0.11318,0,0.033896,298.61,-6.6696e-12,-1.3675e-11,-1.143e-09,1.1431e-09,0.00011351,9.2244e-08,1.14e-10,7.8619e-11,0.013263,65.268,53.946,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033896,298.61,-6.6696e-12,-1.3675e-11,-1.143e-09,1.1431e-09,0.00011351,9.2244e-08,1.14e-10,7.8619e-11,0.013263,65.268,53.946,0.11318,0,1
1,5,0.033908,298.71,-9.6661e-12,-1.7318e-11,-1.6802e-09,1.6803e-09,0.00011351,7.8433e-08,9.9054e-11,6.6846e-11,0.013328,74.242,62.92,0.11318,0,0.033908,298.71,-9.6661e-12,-1.7318e-11,-1.6802e-09,1.6803e-09,0.00011351,7.8433e-08,9.9054e-11,6.6846e-11,0.013328,74.242,62.92,0.11318,0,0.033908,298.71,-9.6661e-12,-1.7318e-11,-1.6802e-09,1.6803e-09,0.00011351,7.8433e-08,9.9054e-11,6.6846e-11,0.013328,74.242,62.92,0.11318,0,0.033908,298.71,-9.6661e-12,-1.7318e-11,-1.6802e-09,1.6803e-09,0.00011351,7.8433e-08,9.9054e-11,6.6846e-11,0.013328,74.242,62.92,0.11318,0,0.033908,298.71,-9.6661e-12,-1.7318e-11,-1.6802e-09,1.6803e-09,0.00011351,7.8433e-08,9.9054e-11,6.6846e-11,0.013328,74.242,62.92,0.11318,0,0.033908,298.71,-9.6661e-12,-1.7318e-11,-1.6802e-09,1.6803e-09,0.00011351,7.8433e-08,9.9054e-11,6.6846e-11,0.013328,74.242,62.92,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033908,298.71,-9.6661e-12,-1.7318e-11,-1.6802e-09,1.6803e-09,0.00011351,7.8433e-08,9.9054e-11,6.6846e-11,0.013328,74.242,62.92,0.11318,0,1
