"N","Time","avg(T)","avg(T_avg)","avg(U (0))","avg(U (1))","avg(U (2))","avg(U (Magnitude))","avg(Volume)","avg(alphat)","avg(k)","avg(nut)","avg(omega)","avg(p)","avg(p_rgh)","avg(rho)","avg(vtkOriginalCellIds)","max(T)","max(T_avg)","max(U (0))","max(U (1))","max(U (2))","max(U (Magnitude))","max(Volume)","max(alphat)","max(k)","max(nut)","max(omega)","max(p)","max(p_rgh)","max(rho)","max(vtkOriginalCellIds)","med(T)","med(T_avg)","med(U (0))","med(U (1))","med(U (2))","med(U (Magnitude))","med(Volume)","med(alphat)","med(k)","med(nut)","med(omega)","med(p)","med(p_rgh)","med(rho)","med(vtkOriginalCellIds)","min(T)","min(T_avg)","min(U (0))","min(U (1))","min(U (2))","min(U (Magnitude))","min(Volume)","min(alphat)","min(k)","min(nut)","min(omega)","min(p)","min(p_rgh)","min(rho)","min(vtkOriginalCellIds)","q1(T)","q1(T_avg)","q1(U (0))","q1(U (1))","q1(U (2))","q1(U (Magnitude))","q1(Volume)","q1(alphat)","q1(k)","q1(nut)","q1(omega)","q1(p)","q1(p_rgh)","q1(rho)","q1(vtkOriginalCellIds)","q3(T)","q3(T_avg)","q3(U (0))","q3(U (1))","q3(U (2))","q3(U (Magnitude))","q3(Volume)","q3(alphat)","q3(k)","q3(nut)","q3(omega)","q3(p)","q3(p_rgh)","q3(rho)","q3(vtkOriginalCellIds)","std(T)","std(T_avg)","std(U (0))","std(U (1))","std(U (2))","std(U (Magnitude))","std(Volume)","std(alphat)","std(k)","std(nut)","std(omega)","std(p)","std(p_rgh)","std(rho)","std(vtkOriginalCellIds)","sum(T)","sum(T_avg)","sum(U (0))","sum(U (1))","sum(U (2))","sum(U (Magnitude))","sum(Volume)","sum(alphat)","sum(k)","sum(nut)","sum(omega)","sum(p)","sum(p_rgh)","sum(rho)","sum(vtkOriginalCellIds)","vtkValidPointMask"
1,0.5,0.033828,298.01,-3.5389e-13,-5.5406e-13,2.0844e-11,2.0854e-11,0.00011351,0.00018,5.8962e-10,1.6181e-07,0.012818,12.244,0.92211,0.11318,0,0.033828,298.01,-3.5389e-13,-5.5406e-13,2.0844e-11,2.0854e-11,0.00011351,0.00018,5.8962e-10,1.6181e-07,0.012818,12.244,0.92211,0.11318,0,0.033828,298.01,-3.5389e-13,-5.5406e-13,2.0844e-11,2.0854e-11,0.00011351,0.00018,5.8962e-10,1.6181e-07,0.012818,12.244,0.92211,0.11318,0,0.033828,298.01,-3.5389e-13,-5.5406e-13,2.0844e-11,2.0854e-11,0.00011351,0.00018,5.8962e-10,1.6181e-07,0.012818,12.244,0.92211,0.11318,0,0.033828,298.01,-3.5389e-13,-5.5406e-13,2.0844e-11,2.0854e-11,0.00011351,0.00018,5.8962e-10,1.6181e-07,0.012818,12.244,0.92211,0.11318,0,0.033828,298.01,-3.5389e-13,-5.5406e-13,2.0844e-11,2.0854e-11,0.00011351,0.00018,5.8962e-10,1.6181e-07,0.012818,12.244,0.92211,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033828,298.01,-3.5389e-13,-5.5406e-13,2.0844e-11,2.0854e-11,0.00011351,0.00018,5.8962e-10,1.6181e-07,0.012818,12.244,0.92211,0.11318,0,1
1,1,0.033831,298.04,-1.1338e-12,-9.6367e-13,2.6421e-11,2.6463e-11,0.00011351,4.063e-05,4.098e-10,3.3418e-08,0.012756,14.409,3.0875,0.11318,0,0.033831,298.04,-1.1338e-12,-9.6367e-13,2.6421e-11,2.6463e-11,0.00011351,4.063e-05,4.098e-10,3.3418e-08,0.012756,14.409,3.0875,0.11318,0,0.033831,298.04,-1.1338e-12,-9.6367e-13,2.6421e-11,2.6463e-11,0.00011351,4.063e-05,4.098e-10,3.3418e-08,0.012756,14.409,3.0875,0.11318,0,0.033831,298.04,-1.1338e-12,-9.6367e-13,2.6421e-11,2.6463e-11,0.00011351,4.063e-05,4.098e-10,3.3418e-08,0.012756,14.409,3.0875,0.11318,0,0.033831,298.04,-1.1338e-12,-9.6367e-13,2.6421e-11,2.6463e-11,0.00011351,4.063e-05,4.098e-10,3.3418e-08,0.012756,14.409,3.0875,0.11318,0,0.033831,298.04,-1.1338e-12,-9.6367e-13,2.6421e-11,2.6463e-11,0.00011351,4.063e-05,4.098e-10,3.3418e-08,0.012756,14.409,3.0875,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033831,298.04,-1.1338e-12,-9.6367e-13,2.6421e-11,2.6463e-11,0.00011351,4.063e-05,4.098e-10,3.3418e-08,0.012756,14.409,3.0875,0.11318,0,1
1,1.5,0.033835,298.07,-1.1574e-12,-1.5057e-12,1.8263e-11,1.8361e-11,0.00011351,3.1608e-07,3.2037e-10,2.6944e-10,0.012862,17.441,6.119,0.11318,0,0.033835,298.07,-1.1574e-12,-1.5057e-12,1.8263e-11,1.8361e-11,0.00011351,3.1608e-07,3.2037e-10,2.6944e-10,0.012862,17.441,6.119,0.11318,0,0.033835,298.07,-1.1574e-12,-1.5057e-12,1.8263e-11,1.8361e-11,0.00011351,3.1608e-07,3.2037e-10,2.6944e-10,0.012862,17.441,6.119,0.11318,0,0.033835,298.07,-1.1574e-12,-1.5057e-12,1.8263e-11,1.8361e-11,0.00011351,3.1608e-07,3.2037e-10,2.6944e-10,0.012862,17.441,6.119,0.11318,0,0.033835,298.07,-1.1574e-12,-1.5057e-12,1.8263e-11,1.8361e-11,0.00011351,3.1608e-07,3.2037e-10,2.6944e-10,0.012862,17.441,6.119,0.11318,0,0.033835,298.07,-1.1574e-12,-1.5057e-12,1.8263e-11,1.8361e-11,0.00011351,3.1608e-07,3.2037e-10,2.6944e-10,0.012862,17.441,6.119,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033835,298.07,-1.1574e-12,-1.5057e-12,1.8263e-11,1.8361e-11,0.00011351,3.1608e-07,3.2037e-10,2.6944e-10,0.012862,17.441,6.119,0.11318,0,1
1,2,0.03384,298.12,-1.2575e-12,-1.9157e-12,-1.3024e-11,1.3224e-11,0.00011351,2.74e-07,2.6219e-10,2.3357e-10,0.012882,21.2,9.8787,0.11318,0,0.03384,298.12,-1.2575e-12,-1.9157e-12,-1.3024e-11,1.3224e-11,0.00011351,2.74e-07,2.6219e-10,2.3357e-10,0.012882,21.2,9.8787,0.11318,0,0.03384,298.12,-1.2575e-12,-1.9157e-12,-1.3024e-11,1.3224e-11,0.00011351,2.74e-07,2.6219e-10,2.3357e-10,0.012882,21.2,9.8787,0.11318,0,0.03384,298.12,-1.2575e-12,-1.9157e-12,-1.3024e-11,1.3224e-11,0.00011351,2.74e-07,2.6219e-10,2.3357e-10,0.012882,21.2,9.8787,0.11318,0,0.03384,298.12,-1.2575e-12,-1.9157e-12,-1.3024e-11,1.3224e-11,0.00011351,2.74e-07,2.6219e-10,2.3357e-10,0.012882,21.2,9.8787,0.11318,0,0.03384,298.12,-1.2575e-12,-1.9157e-12,-1.3024e-11,1.3224e-11,0.00011351,2.74e-07,2.6219e-10,2.3357e-10,0.012882,21.2,9.8787,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03384,298.12,-1.2575e-12,-1.9157e-12,-1.3024e-11,1.3224e-11,0.00011351,2.74e-07,2.6219e-10,2.3357e-10,0.012882,21.2,9.8787,0.11318,0,1
1,2.5,0.033846,298.17,-1.5034e-12,-2.6982e-12,-7.0986e-11,7.1053e-11,0.00011351,2.3633e-07,2.1859e-10,2.0145e-10,0.012911,25.599,14.278,0.11318,0,0.033846,298.17,-1.5034e-12,-2.6982e-12,-7.0986e-11,7.1053e-11,0.00011351,2.3633e-07,2.1859e-10,2.0145e-10,0.012911,25.599,14.278,0.11318,0,0.033846,298.17,-1.5034e-12,-2.6982e-12,-7.0986e-11,7.1053e-11,0.00011351,2.3633e-07,2.1859e-10,2.0145e-10,0.012911,25.599,14.278,0.11318,0,0.033846,298.17,-1.5034e-12,-2.6982e-12,-7.0986e-11,7.1053e-11,0.00011351,2.3633e-07,2.1859e-10,2.0145e-10,0.012911,25.599,14.278,0.11318,0,0.033846,298.17,-1.5034e-12,-2.6982e-12,-7.0986e-11,7.1053e-11,0.00011351,2.3633e-07,2.1859e-10,2.0145e-10,0.012911,25.599,14.278,0.11318,0,0.033846,298.17,-1.5034e-12,-2.6982e-12,-7.0986e-11,7.1053e-11,0.00011351,2.3633e-07,2.1859e-10,2.0145e-10,0.012911,25.599,14.278,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033846,298.17,-1.5034e-12,-2.6982e-12,-7.0986e-11,7.1053e-11,0.00011351,2.3633e-07,2.1859e-10,2.0145e-10,0.012911,25.599,14.278,0.11318,0,1
1,3,0.033853,298.23,-1.996e-12,-3.8331e-12,-1.659e-10,1.6596e-10,0.00011351,2.0301e-07,1.8462e-10,1.7305e-10,0.012945,30.567,19.245,0.11318,0,0.033853,298.23,-1.996e-12,-3.8331e-12,-1.659e-10,1.6596e-10,0.00011351,2.0301e-07,1.8462e-10,1.7305e-10,0.012945,30.567,19.245,0.11318,0,0.033853,298.23,-1.996e-12,-3.8331e-12,-1.659e-10,1.6596e-10,0.00011351,2.0301e-07,1.8462e-10,1.7305e-10,0.012945,30.567,19.245,0.11318,0,0.033853,298.23,-1.996e-12,-3.8331e-12,-1.659e-10,1.6596e-10,0.00011351,2.0301e-07,1.8462e-10,1.7305e-10,0.012945,30.567,19.245,0.11318,0,0.033853,298.23,-1.996e-12,-3.8331e-12,-1.659e-10,1.6596e-10,0.00011351,2.0301e-07,1.8462e-10,1.7305e-10,0.012945,30.567,19.245,0.11318,0,0.033853,298.23,-1.996e-12,-3.8331e-12,-1.659e-10,1.6596e-10,0.00011351,2.0301e-07,1.8462e-10,1.7305e-10,0.012945,30.567,19.245,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033853,298.23,-1.996e-12,-3.8331e-12,-1.659e-10,1.6596e-10,0.00011351,2.0301e-07,1.8462e-10,1.7305e-10,0.012945,30.567,19.245,0.11318,0,1
1,3.5,0.03386,298.29,-2.6326e-12,-5.2147e-12,-3.0938e-10,3.0944e-10,0.00011351,1.7446e-07,1.5758e-10,1.4871e-10,0.012986,36.036,24.714,0.11318,0,0.03386,298.29,-2.6326e-12,-5.2147e-12,-3.0938e-10,3.0944e-10,0.00011351,1.7446e-07,1.5758e-10,1.4871e-10,0.012986,36.036,24.714,0.11318,0,0.03386,298.29,-2.6326e-12,-5.2147e-12,-3.0938e-10,3.0944e-10,0.00011351,1.7446e-07,1.5758e-10,1.4871e-10,0.012986,36.036,24.714,0.11318,0,0.03386,298.29,-2.6326e-12,-5.2147e-12,-3.0938e-10,3.0944e-10,0.00011351,1.7446e-07,1.5758e-10,1.4871e-10,0.012986,36.036,24.714,0.11318,0,0.03386,298.29,-2.6326e-12,-5.2147e-12,-3.0938e-10,3.0944e-10,0.00011351,1.7446e-07,1.5758e-10,1.4871e-10,0.012986,36.036,24.714,0.11318,0,0.03386,298.29,-2.6326e-12,-5.2147e-12,-3.0938e-10,3.0944e-10,0.00011351,1.7446e-07,1.5758e-10,1.4871e-10,0.012986,36.036,24.714,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03386,298.29,-2.6326e-12,-5.2147e-12,-3.0938e-10,3.0944e-10,0.00011351,1.7446e-07,1.5758e-10,1.4871e-10,0.012986,36.036,24.714,0.11318,0,1
1,4,0.033868,298.36,-3.4288e-12,-6.744e-12,-5.1452e-10,5.1457e-10,0.00011351,1.503e-07,1.3571e-10,1.2811e-10,0.01303,41.946,30.625,0.11318,0,0.033868,298.36,-3.4288e-12,-6.744e-12,-5.1452e-10,5.1457e-10,0.00011351,1.503e-07,1.3571e-10,1.2811e-10,0.01303,41.946,30.625,0.11318,0,0.033868,298.36,-3.4288e-12,-6.744e-12,-5.1452e-10,5.1457e-10,0.00011351,1.503e-07,1.3571e-10,1.2811e-10,0.01303,41.946,30.625,0.11318,0,0.033868,298.36,-3.4288e-12,-6.744e-12,-5.1452e-10,5.1457e-10,0.00011351,1.503e-07,1.3571e-10,1.2811e-10,0.01303,41.946,30.625,0.11318,0,0.033868,298.36,-3.4288e-12,-6.744e-12,-5.1452e-10,5.1457e-10,0.00011351,1.503e-07,1.3571e-10,1.2811e-10,0.01303,41.946,30.625,0.11318,0,0.033868,298.36,-3.4288e-12,-6.744e-12,-5.1452e-10,5.1457e-10,0.00011351,1.503e-07,1.3571e-10,1.2811e-10,0.01303,41.946,30.625,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033868,298.36,-3.4288e-12,-6.744e-12,-5.1452e-10,5.1457e-10,0.00011351,1.503e-07,1.3571e-10,1.2811e-10,0.01303,41.946,30.625,0.11318,0,1
1,4.5,0.033876,298.43,-4.5217e-12,-8.8068e-12,-7.9129e-10,7.9135e-10,0.00011351,1.2868e-07,1.1783e-10,1.0968e-10,0.013078,48.249,36.927,0.11318,0,0.033876,298.43,-4.5217e-12,-8.8068e-12,-7.9129e-10,7.9135e-10,0.00011351,1.2868e-07,1.1783e-10,1.0968e-10,0.013078,48.249,36.927,0.11318,0,0.033876,298.43,-4.5217e-12,-8.8068e-12,-7.9129e-10,7.9135e-10,0.00011351,1.2868e-07,1.1783e-10,1.0968e-10,0.013078,48.249,36.927,0.11318,0,0.033876,298.43,-4.5217e-12,-8.8068e-12,-7.9129e-10,7.9135e-10,0.00011351,1.2868e-07,1.1783e-10,1.0968e-10,0.013078,48.249,36.927,0.11318,0,0.033876,298.43,-4.5217e-12,-8.8068e-12,-7.9129e-10,7.9135e-10,0.00011351,1.2868e-07,1.1783e-10,1.0968e-10,0.013078,48.249,36.927,0.11318,0,0.033876,298.43,-4.5217e-12,-8.8068e-12,-7.9129e-10,7.9135e-10,0.00011351,1.2868e-07,1.1783e-10,1.0968e-10,0.013078,48.249,36.927,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033876,298.43,-4.5217e-12,-8.8068e-12,-7.9129e-10,7.9135e-10,0.00011351,1.2868e-07,1.1783e-10,1.0968e-10,0.013078,48.249,36.927,0.11318,0,1
1,5,0.033885,298.51,-5.8991e-12,-1.1092e-11,-1.1445e-09,1.1445e-09,0.00011351,1.0961e-07,1.0306e-10,9.3421e-11,0.013128,54.907,43.585,0.11318,0,0.033885,298.51,-5.8991e-12,-1.1092e-11,-1.1445e-09,1.1445e-09,0.00011351,1.0961e-07,1.0306e-10,9.3421e-11,0.013128,54.907,43.585,0.11318,0,0.033885,298.51,-5.8991e-12,-1.1092e-11,-1.1445e-09,1.1445e-09,0.00011351,1.0961e-07,1.0306e-10,9.3421e-11,0.013128,54.907,43.585,0.11318,0,0.033885,298.51,-5.8991e-12,-1.1092e-11,-1.1445e-09,1.1445e-09,0.00011351,1.0961e-07,1.0306e-10,9.3421e-11,0.013128,54.907,43.585,0.11318,0,0.033885,298.51,-5.8991e-12,-1.1092e-11,-1.1445e-09,1.1445e-09,0.00011351,1.0961e-07,1.0306e-10,9.3421e-11,0.013128,54.907,43.585,0.11318,0,0.033885,298.51,-5.8991e-12,-1.1092e-11,-1.1445e-09,1.1445e-09,0.00011351,1.0961e-07,1.0306e-10,9.3421e-11,0.013128,54.907,43.585,0.11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033885,298.51,-5.8991e-12,-1.1092e-11,-1.1445e-09,1.1445e-09,0.00011351,1.0961e-07,1.0306e-10,9.3421e-11,0.013128,54.907,43.585,0.11318,0,1
