Time,avg(T)
0.5,298.01
1,298.04
1.5,298.08
2,298.12
2.5,298.17
3,298.23
3.5,298.29
4,298.36
4.5,298.43
5,298.51
5.5,298.59
6,298.67
6.5,298.76
7,298.85
7.5,298.94
8,299.04
8.5,299.15
9,299.26
9.5,299.38
10,299.5
10.5,299.62
11,299.75
11.5,299.88
12,300.01
12.5,300.15
13,300.3
13.5,300.44
14,300.59
14.5,300.74
15,300.9
15.5,301.06
16,301.22
16.5,301.38
17,301.55
17.5,301.72
18,301.89
18.5,302.06
19,302.23
19.5,302.4
20,302.57
20.5,302.74
21,302.92
21.5,303.09
22,303.27
22.5,303.45
23,303.62
23.5,303.8
24,303.99
24.5,304.17
25,304.35
25.5,304.53
26,304.72
26.5,304.9
27,305.09
27.5,305.27
28,305.46
28.5,305.64
29,305.83
29.5,306.01
30,306.19
30.5,306.38
31,306.57
31.5,306.75
32,306.94
32.5,307.13
33,307.31
33.5,307.5
34,307.69
34.5,307.88
35,308.07
35.5,308.26
36,308.45
36.5,308.64
37,308.83
37.5,309.02
38,309.21
38.5,309.39
39,309.58
39.5,309.77
40,309.95
40.5,310.14
41,310.32
41.5,310.51
42,310.69
42.5,310.88
43,311.06
43.5,311.25
44,311.43
44.5,311.62
45,311.8
45.5,311.99
46,312.18
46.5,312.37
47,312.55
47.5,312.74
48,312.93
48.5,313.12
49,313.31
49.5,313.49
50,313.68
50.5,313.86
51,314.05
51.5,314.23
52,314.42
52.5,314.61
53,314.79
53.5,314.98
54,315.17
54.5,315.35
55,315.54
55.5,315.73
56,315.92
56.5,316.1
57,316.29
57.5,316.48
58,316.66
58.5,316.85
59,317.03
59.5,317.22
60,317.41
60.5,317.59
61,317.78
61.5,317.96
62,318.15
62.5,318.33
63,318.52
63.5,318.71
64,318.89
64.5,319.08
65,319.26
65.5,319.45
66,319.63
66.5,319.82
67,320
67.5,320.19
68,320.37
68.5,320.55
69,320.74
69.5,320.92
70,321.1
70.5,321.29
71,321.47
71.5,321.65
72,321.84
72.5,322.02
73,322.21
73.5,322.39
74,322.58
74.5,322.76
75,322.95
75.5,323.13
76,323.32
76.5,323.5
77,323.69
77.5,323.87
78,324.05
78.5,324.23
79,324.42
79.5,324.6
80,324.78
80.5,324.97
81,325.15
81.5,325.33
82,325.51
82.5,325.69
83,325.87
83.5,326.06
84,326.24
84.5,326.42
85,326.6
85.5,326.78
86,326.96
86.5,327.15
87,327.33
87.5,327.52
88,327.7
88.5,327.88
89,328.07
89.5,328.25
90,328.43
90.5,328.61
91,328.8
91.5,328.98
92,329.16
92.5,329.34
93,329.52
93.5,329.7
94,329.88
94.5,330.06
95,330.24
95.5,330.42
96,330.6
96.5,330.78
97,330.96
97.5,331.14
98,331.32
98.5,331.5
99,331.68
99.5,331.85
100,332.03
100.5,332.21
101,332.39
101.5,332.57
102,332.75
102.5,332.93
103,333.11
103.5,333.29
104,333.47
104.5,333.65
105,333.83
105.5,334.01
106,334.18
106.5,334.36
107,334.54
107.5,334.72
108,334.9
108.5,335.08
109,335.26
109.5,335.44
110,335.62
110.5,335.79
111,335.97
111.5,336.15
112,336.33
112.5,336.51
113,336.69
113.5,336.86
114,337.04
114.5,337.22
115,337.4
115.5,337.57
116,337.75
116.5,337.93
117,338.1
117.5,338.28
118,338.46
118.5,338.64
119,338.81
119.5,338.99
120,339.17
120.5,339.35
121,339.53
121.5,339.7
122,339.88
122.5,340.06
123,340.24
123.5,340.42
124,340.59
124.5,340.77
125,340.94
125.5,341.12
126,341.29
126.5,341.47
127,341.64
127.5,341.81
128,341.99
128.5,342.16
129,342.34
129.5,342.52
130,342.69
130.5,342.87
131,343.05
131.5,343.22
132,343.4
132.5,343.57
133,343.75
133.5,343.92
134,344.09
134.5,344.27
135,344.44
135.5,344.62
136,344.79
136.5,344.97
137,345.14
137.5,345.31
138,345.49
138.5,345.66
139,345.84
139.5,346.01
140,346.19
140.5,346.36
141,346.54
141.5,346.71
142,346.89
142.5,347.06
143,347.23
143.5,347.41
144,347.58
144.5,347.75
145,347.93
145.5,348.1
146,348.28
146.5,348.45
147,348.62
147.5,348.8
148,348.97
148.5,349.14
149,349.32
149.5,349.49
150,349.67
150.5,349.84
151,350.01
151.5,350.18
152,350.36
152.5,350.53
153,350.7
153.5,350.87
154,351.04
154.5,351.21
155,351.38
155.5,351.56
156,351.73
156.5,351.9
157,352.07
157.5,352.24
158,352.41
158.5,352.58
159,352.75
159.5,352.92
160,353.09
160.5,353.26
161,353.43
161.5,353.6
162,353.77
162.5,353.94
163,354.11
163.5,354.28
164,354.45
164.5,354.62
165,354.8
165.5,354.97
166,355.14
166.5,355.31
167,355.48
167.5,355.65
168,355.82
168.5,355.99
169,356.16
169.5,356.33
170,356.5
170.5,356.67
171,356.84
171.5,357.01
172,357.18
172.5,357.35
173,357.53
173.5,357.7
174,357.87
174.5,358.04
175,358.2
175.5,358.37
176,358.54
176.5,358.71
177,358.88
177.5,359.04
178,359.21
178.5,359.38
179,359.55
179.5,359.72
180,359.89
180.5,360.06
181,360.23
181.5,360.4
182,360.56
182.5,360.73
183,360.9
183.5,361.07
184,361.24
184.5,361.41
185,361.58
185.5,361.75
186,361.92
186.5,362.08
187,362.25
187.5,362.42
188,362.59
188.5,362.76
189,362.92
189.5,363.09
190,363.26
190.5,363.43
191,363.6
191.5,363.76
192,363.93
