Time,avg(T)
0.5,298.02
1,298.06
1.5,298.11
2,298.18
2.5,298.24
3,298.32
3.5,298.4
4,298.49
4.5,298.58
5,298.67
5.5,298.77
6,298.87
6.5,298.98
7,299.1
7.5,299.22
8,299.34
8.5,299.47
9,299.6
9.5,299.74
10,299.88
10.5,300.02
11,300.17
11.5,300.32
12,300.47
12.5,300.63
13,300.79
13.5,300.95
14,301.11
14.5,301.28
15,301.44
15.5,301.61
16,301.78
16.5,301.95
17,302.12
17.5,302.28
18,302.45
18.5,302.62
19,302.79
19.5,302.96
20,303.13
20.5,303.3
21,303.48
21.5,303.65
22,303.83
22.5,304
23,304.18
23.5,304.36
24,304.54
24.5,304.72
25,304.89
25.5,305.07
26,305.25
26.5,305.43
27,305.61
27.5,305.8
28,305.98
28.5,306.16
29,306.35
29.5,306.53
30,306.72
30.5,306.9
31,307.08
31.5,307.27
32,307.45
32.5,307.64
33,307.82
33.5,308.01
34,308.19
34.5,308.38
35,308.56
35.5,308.74
36,308.92
36.5,309.11
37,309.29
37.5,309.48
38,309.66
38.5,309.84
39,310.03
39.5,310.21
40,310.4
40.5,310.58
41,310.77
41.5,310.96
42,311.14
42.5,311.33
43,311.52
43.5,311.7
44,311.89
44.5,312.07
45,312.26
45.5,312.45
46,312.63
46.5,312.82
47,313.01
47.5,313.19
48,313.38
48.5,313.56
49,313.74
49.5,313.93
50,314.11
50.5,314.3
51,314.48
51.5,314.67
52,314.85
52.5,315.04
53,315.22
53.5,315.41
54,315.6
54.5,315.78
55,315.97
55.5,316.15
56,316.34
56.5,316.52
57,316.7
57.5,316.88
58,317.06
58.5,317.25
59,317.43
59.5,317.61
60,317.79
60.5,317.98
61,318.16
61.5,318.35
62,318.53
62.5,318.71
63,318.9
63.5,319.08
64,319.27
64.5,319.45
65,319.63
65.5,319.82
66,320
66.5,320.18
67,320.36
67.5,320.54
68,320.72
68.5,320.91
69,321.09
69.5,321.27
70,321.45
70.5,321.64
71,321.82
